epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.251,1.73099,1.88371,0.01073,0.53756,0.58088,0.57424,0.2933,1.60217,1.54825,0.01131,0.00016453,0.00016453,0.0672585
2,614.307,1.64469,1.75767,0.01005,0.60328,0.63448,0.6484,0.34099,1.61131,1.27698,0.01138,0.000322999,0.000322999,0.0340837
3,903.9,1.61292,1.69773,0.00994,0.64775,0.61832,0.67185,0.35285,1.55008,1.28396,0.01092,0.000473219,0.000473219,0.000900569
4,1195.98,1.54984,1.62732,0.00947,0.62415,0.66844,0.68508,0.34928,1.6029,1.22325,0.01136,0.000462875,0.000462875,0.000462875
5,1480.1,1.56651,1.6146,0.00977,0.64404,0.6695,0.7033,0.3675,1.58713,1.15528,0.01114,0.0004505,0.0004505,0.0004505
6,1761.89,1.55408,1.54778,0.00976,0.66925,0.66262,0.71086,0.39859,1.49519,1.10875,0.01032,0.000438125,0.000438125,0.000438125
7,2047.46,1.55069,1.5515,0.00937,0.67985,0.67995,0.72585,0.39944,1.52473,1.09468,0.01051,0.00042575,0.00042575,0.00042575
8,2326.72,1.53386,1.49528,0.00936,0.69471,0.68646,0.73414,0.38939,1.56295,1.07782,0.01106,0.000413375,0.000413375,0.000413375
9,2608.81,1.54959,1.49909,0.00947,0.69074,0.67495,0.73363,0.40599,1.51591,1.07571,0.01046,0.000401,0.000401,0.000401
10,2887.81,1.53387,1.47815,0.00923,0.69401,0.6871,0.74471,0.40934,1.53595,1.07057,0.01061,0.000388625,0.000388625,0.000388625
11,3156.45,1.51719,1.42715,0.0094,0.69487,0.70766,0.75286,0.4109,1.54017,1.01992,0.0107,0.00037625,0.00037625,0.00037625
12,3424.48,1.51363,1.40269,0.00914,0.70104,0.71142,0.75327,0.42604,1.488,0.98935,0.01018,0.000363875,0.000363875,0.000363875
13,3694.7,1.5318,1.38968,0.00916,0.73202,0.71771,0.77177,0.43172,1.50999,0.97241,0.01037,0.0003515,0.0003515,0.0003515
14,3976.26,1.50454,1.35984,0.0091,0.71972,0.71235,0.76902,0.42059,1.55399,1.00328,0.01084,0.000339125,0.000339125,0.000339125
15,4254.4,1.51907,1.36921,0.00914,0.70493,0.71517,0.758,0.42201,1.50564,0.98761,0.01024,0.00032675,0.00032675,0.00032675
16,4533.44,1.52613,1.36455,0.00929,0.72062,0.73844,0.78193,0.44426,1.47383,0.93123,0.0101,0.000314375,0.000314375,0.000314375
17,4812.97,1.49626,1.33237,0.00895,0.71959,0.72527,0.77956,0.42948,1.55407,0.95521,0.01078,0.000302,0.000302,0.000302
18,5091.95,1.50974,1.3286,0.00914,0.75134,0.71909,0.78007,0.43984,1.49507,0.94098,0.01026,0.000289625,0.000289625,0.000289625
19,5367.51,1.49534,1.30205,0.00907,0.7221,0.72471,0.77277,0.43449,1.49832,0.93574,0.01018,0.00027725,0.00027725,0.00027725
20,5644.4,1.49473,1.30765,0.00901,0.71805,0.75937,0.78579,0.44629,1.48726,0.91287,0.01022,0.000264875,0.000264875,0.000264875
21,5921.84,1.50529,1.30249,0.00902,0.74503,0.73599,0.7926,0.44397,1.51701,0.9154,0.01045,0.0002525,0.0002525,0.0002525
22,6196.45,1.50803,1.29312,0.00922,0.74601,0.74359,0.79612,0.45955,1.45946,0.89115,0.00998,0.000240125,0.000240125,0.000240125
23,6475.15,1.48254,1.26756,0.00889,0.76658,0.73895,0.80171,0.45931,1.47957,0.89134,0.0102,0.00022775,0.00022775,0.00022775
24,6752.87,1.4803,1.2699,0.00911,0.74204,0.75579,0.80178,0.45562,1.48645,0.88436,0.01026,0.000215375,0.000215375,0.000215375
25,7038.08,1.47727,1.2599,0.00897,0.76325,0.75132,0.8029,0.45665,1.48549,0.8736,0.01019,0.000203,0.000203,0.000203
26,7638.52,1.46692,1.24395,0.0089,0.75295,0.76736,0.80723,0.46191,1.48083,0.86196,0.01012,0.000190625,0.000190625,0.000190625
